"id","age","female","educ","educ3","marital","union","ses","income","relig","bornswe","foreignpar","urban","county","land","polint","inteff","dem_pref","dem_courts","dem_strong","dem_women","run_business","run_experts","run_referenda","demlevel","tr_parl","tr_govt","tr_court","tr_sci","tr_party","tr_media","tr_socmed","govperf","govcovid","econ","satvote","satchoice","satdem","fair","exteff","fairgroups","health","pand_unity","pand_dem","pand_fin","covid","news_tv","news_web","news_soc","like_s","like_sd","like_m","like_v","like_c","like_kd","like_mp","like_l","lead_andersson","lead_akesson","lead_kristersson","lead_dadgostar","lead_loof","lead_busch","lead_stenevi","lead_pehrson","lr_s","lr_sd","lr_m","lr_v","lr_c","lr_kd","lr_mp","lr_l","lr_self","turnout","vote","prevvote","switched","bloc","vote_sd","vote_right","vote_inc","pid","pid_close","wt"
"0000000665",56,1,7,"Bachelor","Single",1,"White collar",4,1,1,0,2,"Dalarna","Svealand",3,4,5,3,2,3,3,3,2,9,3,3,4,3,3,4,2,3,3,3,4,4,4,5,4,3,4,3,4,4,1,7,6,7,6,5,10,0,7,8,2,9,6,8,10,0,8,7,1,9,5,10,8,0,6,9,1,7,9,1,"M","M",0,"Right",0,1,0,1,2,0.7658
"0000000357",41,0,8,"Postgraduate","Married",1,"White collar",4,2,1,0,3,"Stockholm","Svealand",3,4,5,5,1,1,1,1,5,8,2,2,3,3,2,3,1,3,3,1,3,2,3,4,4,3,1,2,2,3,1,7,7,7,,0,2,2,6,0,7,2,9,0,1,3,8,1,2,3,,10,8,0,7,,,8,4,1,"MP","S",1,"Left",0,0,0,0,,0.7712
"0000001552",46,1,3,"No degree","Married",0,"Worker",2,1,1,1,2,"Södermanland","Svealand",3,3,5,3,1,5,1,1,1,5,3,3,3,3,,2,1,3,3,3,4,3,3,4,4,2,3,2,3,4,0,0,7,7,9,0,0,4,2,0,4,0,9,0,0,1,2,0,1,1,,,10,,10,10,,10,,1,"S","S",0,"Left",0,0,1,0,1,1.5176
"0000001555",31,0,5,"No degree","Single",1,"Worker",1,1,1,0,1,"Värmland","Svealand",2,4,5,4,1,3,3,3,4,7,2,2,2,3,2,2,1,2,3,4,,3,3,5,4,3,3,4,4,2,,0,,,5,5,7,1,2,7,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,,,"S",,,,,,0,,1.6791
"0000001556",50,0,3,"No degree","Married",1,"White collar",4,1,1,1,1,"Södermanland","Svealand",,3,5,5,1,3,,,5,0,1,1,3,2,1,1,1,1,1,1,,3,1,3,1,1,2,3,1,3,1,0,0,0,0,7,7,0,0,7,0,0,0,6,6,0,0,6,0,0,10,10,10,3,0,10,0,3,7,1,,,,,,,,1,2,1.5282
"0000001128",39,0,4,"No degree","Single",1,"Worker",1,1,0,,3,"Jönköping","Götaland",4,5,5,5,1,4,1,1,5,6,3,3,3,4,3,4,3,4,3,4,4,3,3,4,5,1,3,4,4,3,1,2,7,7,10,0,0,10,7,0,5,2,,,,,,,,,0,10,8,0,4,9,3,9,0,1,"S","V",1,"Left",0,0,1,1,3,1.5423
"0000001311",45,1,4,"No degree","Single",1,"Worker",3,1,1,1,1,"Västra Götaland","Götaland",2,5,3,3,5,3,3,3,3,5,3,3,3,3,3,3,3,2,3,2,,3,3,3,3,3,3,1,3,3,1,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,10,10,0,0,10,0,10,5,1,,,,,,,,0,,1.1901
"0000001300",70,0,6,"No degree","Married",1,"Worker",1,1,1,1,4,"Stockholm","Svealand",3,4,5,5,2,1,1,1,3,7,2,2,3,3,2,3,1,2,3,2,4,2,3,5,4,3,3,3,3,3,0,7,7,0,5,0,10,0,5,5,0,10,9,0,10,0,0,6,0,10,6,5,10,0,3,8,0,8,8,1,"L","M",1,"Right",0,1,0,1,2,0.7541
"0000002086",18,0,,,"Single",,,,,0,1,,"Skåne","Götaland",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2763
"0000001661",53,0,4,"No degree","Married",1,"Worker",4,1,1,0,1,"Västra Götaland","Götaland",3,5,5,5,1,1,1,1,5,6,2,2,2,3,2,1,1,1,1,1,4,2,3,4,3,3,2,3,2,1,1,3,7,4,0,0,0,8,7,0,5,0,0,0,0,8,6,0,5,0,6,10,10,2,5,8,4,8,5,1,"V",,,"Left",0,0,0,0,1,0.91
