"F1003_2","F1004","F1006_NAM","F1101_2","F2001_A","F2002","F2003","F2004","F2005","F2006","F2008","F2009","F2010_1","F2012","F2015","F2016","F2018","F2020","F3001","F3002_1","F3002_5","F3002_6_1","F3003","F3004_1","F3004_2","F3004_3","F3004_4","F3005_1","F3005_2","F3005_3","F3006","F3007_1","F3007_2","F3007_3","F3007_4","F3007_5","F3007_6","F3007_7","F3008_1","F3008_2","F3009","F3010","F3011_LH_PL","F3011_OUTGOV","F3012_1","F3013","F3014","F3015_LH","F3016_LH_PL","F3017","F3018_A","F3018_B","F3018_C","F3018_D","F3018_E","F3018_F","F3018_G","F3018_H","F3019_A","F3019_B","F3019_C","F3019_D","F3019_E","F3019_F","F3019_G","F3019_H","F3020_A","F3020_B","F3020_C","F3020_D","F3020_E","F3020_F","F3020_G","F3020_H","F3020_R","F3022","F3023_1","F3023_4","F3026","F3027","F3028_1","F3028_2","F3028_3","F3028_4"
"0000002747","SWE_2022","Sweden",0.5247,81,1,7,1,0,7,1,1,2,3,752,0,12,2,2,7,6,7,2,1,5,5,5,5,4,4,9,2,2,2,2,2,2,4,2,2,4,1,999999,999999,9,2,1,1,999999,4,3,1,8,1,7,8,1,8,6,6,6,3,3,8,3,6,3,10,9,0,5,8,1,7,7,2,0,2,2,2,3,3,3,0
"0000002806","SWE_2022","Sweden",0.5247,70,1,8,1,1,7,1,1,3,1,752,0,18,2,1,7,6,7,1,1,1,2,5,5,5,2,8,2,2,2,2,2,3,9,2,3,4,1,752001,1,9,2,2,1,752005,4,9,0,1,3,7,4,6,9,10,0,1,7,3,1,7,7,5,9,10,1,6,9,3,7,6,2,1,2,3,2,2,4,3,1
"0000000479","SWE_2022","Sweden",0.7658,46,1,8,1,1,1,2,1,3,1,752,0,25,2,3,7,0,7,2,2,3,4,3,5,5,2,8,2,2,3,2,3,2,2,2,2,4,1,999999,999999,9,2,2,1,999999,3,5,3,2,4,3,3,1,2,4,3,1,3,3,3,2,3,3,8,10,0,3,9,1,9,5,2,1,2,3,3,3,3,3,1
"0000001601","SWE_2022","Sweden",1.7851,20,0,4,4,0,1,2,2,5,2,752,1,4,1,2,3,7,7,2,1,3,4,5,5,5,5,10,1,1,1,1,2,1,2,2,1,4,1,752003,0,1,1,1,99,999999,5,5,5,9,2,6,6,4,7,9,9,10,5,7,8,5,8,4,10,9,0,5,9,2,8,8,1,1,1,1,1,4,3,3,1
"0000000477","SWE_2022","Sweden",1.073,39,1,8,1,1,2,2,1,3,1,752,0,12,2,2,1,7,7,2,1,1,4,5,5,4,4,8,3,2,3,1,3,3,4,2,2,5,1,752001,1,4,4,1,1,752001,4,8,0,6,4,6,6,6,5,8,0,0,2,5,2,5,5,2,8,10,0,4,8,3,6,4,2,0,9,3,4,4,2,4,1
"0000000743","SWE_2022","Sweden",1.1487,23,0,99,4,9,99,9,9,9,9,752,1,13,9,3,0,0,7,4,1,3,2,3,5,4,5,10,2,3,3,1,3,2,2,4,1,9,99,999999,999999,9,9,9,99,999999,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9
"0000001791","SWE_2022","Sweden",0.821,72,0,6,1,1,7,1,1,2,1,752,0,1,2,2,7,0,4,1,1,2,5,4,5,5,5,8,2,2,2,2,3,1,3,2,2,5,1,752001,1,1,1,1,1,752004,5,10,0,0,10,2,2,7,2,10,0,2,7,7,2,6,2,3,10,10,0,4,8,4,7,2,2,1,2,2,2,4,2,2,1
"0000000460","SWE_2022","Sweden",0.9037,56,1,6,1,0,2,1,1,5,1,752,0,6,1,4,3,3,0,1,1,1,5,5,5,5,5,9,1,1,2,1,2,2,3,2,2,4,1,752001,1,1,2,1,1,752001,4,9,0,7,5,6,4,4,8,9,3,8,5,8,4,5,6,4,10,8,1,6,10,4,7,5,2,0,3,3,2,3,2,4,1
"0000000127","SWE_2022","Sweden",0.9037,61,1,7,1,1,1,1,1,5,2,752,0,14,2,2,7,0,0,1,1,2,5,3,5,5,5,9,1,2,1,1,2,2,4,3,2,4,1,752003,0,1,1,1,1,752003,5,2,0,10,0,2,9,0,6,0,5,10,5,0,9,0,8,3,10,8,0,3,8,0,7,8,2,1,1,2,2,3,1,1,0
"0000002158","SWE_2022","Sweden",0.7489,65,1,6,1,1,7,1,1,2,3,752,1,5,2,1,7,5,0,1,1,2,5,5,5,5,4,9,2,2,2,1,2,2,3,2,1,2,1,752004,0,1,1,2,1,752004,5,7,0,1,10,6,0,8,2,7,0,1,10,6,0,8,2,3,10,10,1,6,10,2,7,1,2,1,2,3,3,4,2,3,1
